url,property_type,category,origin
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17314,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17319,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17342,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17353,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17384,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17391,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17394,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17403,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17407,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17412,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17438,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17456,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17497,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17682,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17873,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe17874,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe18133,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe18528,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe19139,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe19630,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe19783,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe19785,apartment,apartment,search
https://immovlan.be/en/detail/apartment/for-rent/1000/brussels/vbe19786,apartment,apartment,search
